"Fecha","Temperatura","Humedad","Precipitación Total"
"2016-11-15 10",15.28,74.24,0
"2016-11-15 11",15.61,72.87,0
"2016-11-15 12",16.98,63.58,0
"2016-11-15 13",17.5,58.4,0
"2016-11-15 14",18.22,55.31,0
"2016-11-15 15",19.17,48.43,0
"2016-11-15 16",19.73,46.7,0
"2016-11-15 17",19.04,49.63,0
"2016-11-15 18",18.67,51.9,0
"2016-11-15 19",17.9,57.29,0
"2016-11-15 20",16.42,65.62,0
"2016-11-15 21",13.77,84.02,1.2
"2016-11-15 22",12.85,88.14,0.2
"2016-11-15 23",12.28,91.41,0.9
"2016-11-16 00",12.13,92.82,0.1
"2016-11-16 01",11.93,91.62,0.2
"2016-11-16 02",12.03,90.11,0
"2016-11-16 03",12.26,88.37,0
"2016-11-16 04",12.33,87.66,0
"2016-11-16 05",12.17,88.8,0.3
"2016-11-16 06",11.86,91.96,0.1
"2016-11-16 07",12.02,91.04,0.1
"2016-11-16 08",12.06,90.35,0.9
"2016-11-16 09",12.22,89.18,0
"2016-11-16 10",12.54,89.01,0.8
"2016-11-16 11",12.89,89.13,0.7
"2016-11-16 12",13.16,88.72,0.3
"2016-11-16 13",13.85,85.41,0
"2016-11-16 14",14.41,80.99,0
"2016-11-16 15",14.88,76.16,0.2
"2016-11-16 16",13.29,90.92,6.9
"2016-11-16 17",12.4,94.3,3.3
"2016-11-16 18",12.1,90.96,0.2
"2016-11-16 19",12.06,91.24,0
"2016-11-16 20",12.16,90.94,0
"2016-11-16 21",11.84,92.35,0
"2016-11-16 22",11,93.92,0.1
"2016-11-16 23",10.62,93.95,0
"2016-11-17 00",10.02,93.89,0
"2016-11-17 01",9.63,92.98,0
"2016-11-17 02",9.76,91.88,0
"2016-11-17 03",9.56,91.29,0
"2016-11-17 04",8.83,93.94,0
"2016-11-17 05",8.68,93.47,0.1
"2016-11-17 06",8.93,92.78,0
"2016-11-17 07",9.4,93.69,0
"2016-11-17 08",9.95,93.38,0
"2016-11-17 09",11.07,90.04,0
"2016-11-17 10",13.04,79.08,0
"2016-11-17 11",15.5,67.94,0
"2016-11-17 12",16.79,62.83,0
"2016-11-17 13",18.19,53.79,0
"2016-11-17 14",19.6,44.99,0
"2016-11-17 15",19.27,46.06,0
"2016-11-17 16",18.94,51.46,0
"2016-11-17 17",18.91,50.36,0
"2016-11-17 18",18,54.83,0
"2016-11-17 19",16.34,66.5,0
"2016-11-17 20",15.46,69.23,0
"2016-11-17 21",14.33,72.47,0
"2016-11-17 22",13.75,72.32,0
"2016-11-17 23",13.54,73.54,0
"2016-11-18 00",12.91,77.28,0
"2016-11-18 01",12.79,78.99,0
"2016-11-18 02",12.99,76.24,0
"2016-11-18 03",12.41,77.11,0
"2016-11-18 04",11.6,82.31,0
"2016-11-18 05",10.58,89.72,0
"2016-11-18 06",9.62,90.58,0
"2016-11-18 07",9.74,87.96,0
"2016-11-18 08",11.19,82.77,0
"2016-11-18 09",13.34,77.76,0
"2016-11-18 10",15.48,67.33,0
"2016-11-18 11",17.79,58.72,0
"2016-11-18 12",18.87,50.79,0
"2016-11-18 13",18.95,50.68,0
"2016-11-18 14",19.76,47.94,0
"2016-11-18 15",20.44,43.91,0
"2016-11-18 16",21.22,40.93,0
"2016-11-18 17",20.83,40.98,0
"2016-11-18 18",20.09,41.46,0
"2016-11-18 19",18.88,47.2,0
"2016-11-18 20",16.94,52.95,0
"2016-11-18 21",16.07,57.65,0
"2016-11-18 22",15.3,59.98,0
"2016-11-18 23",14.64,57.14,0
"2016-11-19 00",13.44,68.64,0
"2016-11-19 01",12.68,68.16,0
"2016-11-19 02",12.54,69,0
"2016-11-19 03",12.13,72.77,0
"2016-11-19 04",12.07,75.22,0
"2016-11-19 05",11.97,76.38,0
"2016-11-19 06",11.8,78.76,0
"2016-11-19 07",11.9,77.72,0
"2016-11-19 08",12.11,74.35,0
"2016-11-19 09",11.76,75.19,0.1
"2016-11-19 10",11.2,84.54,0
"2016-11-19 11",11.69,80.63,0.2
"2016-11-19 12",11.85,79.18,0.1
"2016-11-19 13",12.13,78.97,0
"2016-11-19 14",13.5,66.96,0
"2016-11-19 15",13.39,65.03,0
"2016-11-19 16",12.96,69,0
"2016-11-19 17",12.69,71.02,0
"2016-11-19 18",12.45,71.38,0
"2016-11-19 19",12.08,70.65,0
"2016-11-19 20",11.64,70.64,0
"2016-11-19 21",11.26,71.51,0
"2016-11-19 22",10.98,71.86,0
"2016-11-19 23",10.4,74.86,0
"2016-11-20 00",9.83,75.64,0
"2016-11-20 01",9.63,76.01,0
"2016-11-20 02",9.47,76.05,0
"2016-11-20 03",9.19,77.09,0
"2016-11-20 04",8.74,76.92,0
"2016-11-20 05",9.19,73.88,0
"2016-11-20 06",9.24,73.9,0
"2016-11-20 07",9.1,75.64,0
"2016-11-20 08",9.44,74.89,0
"2016-11-20 09",10.82,70.11,0
"2016-11-20 10",11.62,67.83,0
"2016-11-20 11",12.18,66.06,0
"2016-11-20 12",13.76,60.29,0
"2016-11-20 13",15.09,55.75,0
"2016-11-20 14",15.88,52.96,0
"2016-11-20 15",16.37,51.16,0
"2016-11-20 16",17.51,46.86,0
"2016-11-20 17",16.73,51.29,0
"2016-11-20 18",15.49,57.04,0
"2016-11-20 19",14.48,61.83,0
"2016-11-20 20",13.72,66.34,0
"2016-11-20 21",12.71,71.49,0
"2016-11-20 22",11.79,73.79,0
"2016-11-20 23",10.95,74.16,0
"2016-11-21 00",10.33,76.98,0
"2016-11-21 01",9.59,80.61,0
"2016-11-21 02",8.84,83.84,0
"2016-11-21 03",7.92,87.03,0
"2016-11-21 04",7.22,89.35,0
"2016-11-21 05",7.06,89.62,0
"2016-11-21 06",6.34,90.65,0
"2016-11-21 07",5.82,91.69,0
"2016-11-21 08",7.83,83.38,0
"2016-11-21 09",10.23,74.74,0
"2016-11-21 10",12.35,65.6,0
"2016-11-21 11",13.88,59.13,0
"2016-11-21 12",15.82,51.16,0
"2016-11-21 13",17.64,42.86,0
"2016-11-21 14",19.04,32.52,0
"2016-11-21 15",20.12,23.08,0
"2016-11-21 16",20.9,20.59,0
"2016-11-21 17",21.06,22.27,0
"2016-11-21 18",19.62,26.89,0
"2016-11-21 19",16.36,36.48,0
"2016-11-21 20",14.01,46.26,0
"2016-11-21 21",13.07,50.82,0
"2016-11-21 22",12.5,54.75,0
"2016-11-21 23",11.7,60.77,0
"2016-11-22 00",10.76,66.77,0
"2016-11-22 01",9.54,74.14,0
"2016-11-22 02",9.16,77.67,0
"2016-11-22 03",8.46,81.08,0
"2016-11-22 04",7.71,81.81,0
"2016-11-22 05",7.34,83.17,0
"2016-11-22 06",7.23,83.84,0
"2016-11-22 07",6.86,86.82,0
"2016-11-22 08",8.81,78.52,0
"2016-11-22 09",11.53,65.7,0
"2016-11-22 10",13.73,58.04,0
"2016-11-22 11",15.85,50.48,0
"2016-11-22 12",17.54,43.68,0
"2016-11-22 13",19.16,36.14,0
"2016-11-22 14",20.13,28.94,0
"2016-11-22 15",20.54,26.35,0
"2016-11-22 16",21.13,23.33,0
"2016-11-22 17",21.42,24.09,0
"2016-11-22 18",20.09,26.64,0
"2016-11-22 19",16.81,40.77,0
"2016-11-22 20",15.24,47.55,0
"2016-11-22 21",14.28,50.61,0
"2016-11-22 22",12.87,57.04,0
"2016-11-22 23",12.35,59.42,0
"2016-11-23 00",11.65,60.14,0
"2016-11-23 01",10.87,62.13,0
"2016-11-23 02",10.08,64.18,0
"2016-11-23 03",8.98,70.38,0
"2016-11-23 04",8.48,70.46,0
"2016-11-23 05",7.53,77.5,0
"2016-11-23 06",6.7,81.84,0
"2016-11-23 07",6.95,78.75,0
"2016-11-23 08",8.72,71.12,0
"2016-11-23 09",12.42,58.97,0
"2016-11-23 10",14.31,51.41,0
"2016-11-23 11",16.59,41.59,0
"2016-11-23 12",18.26,33.81,0
"2016-11-23 13",19.04,29.9,0
"2016-11-23 14",20,25.78,0
"2016-11-23 15",20.83,23.51,0
"2016-11-23 16",21.05,22.78,0
"2016-11-23 17",20.67,23.53,0
"2016-11-23 18",19.11,27.22,0
"2016-11-23 19",17.42,34.21,0
"2016-11-23 20",15.83,39.47,0
"2016-11-23 21",13.83,54.54,0
"2016-11-23 22",12.24,69.74,0
"2016-11-23 23",11.42,71.7,0
"2016-11-24 00",10.87,72.53,0
"2016-11-24 01",10.55,72.44,0
"2016-11-24 02",10.12,73.57,0
"2016-11-24 03",9.27,75.89,0
"2016-11-24 04",8.87,75.78,0
"2016-11-24 05",9.18,75.74,0
"2016-11-24 06",9.47,75.2,0
"2016-11-24 07",10.13,69.82,0
"2016-11-24 08",10.52,65.66,0
"2016-11-24 09",11.01,64.43,0
"2016-11-24 10",12.55,60.63,0
"2016-11-24 11",13.68,57.78,0
"2016-11-24 12",15.21,52.74,0
"2016-11-24 13",16.79,45.24,0
"2016-11-24 14",18.36,37.25,0
"2016-11-24 15",19.74,30.02,0
"2016-11-24 16",20.45,25.24,0
"2016-11-24 17",20.4,24.81,0
"2016-11-24 18",19.61,27.08,0
"2016-11-24 19",16.53,39.07,0
"2016-11-24 20",15.85,44.75,0
"2016-11-24 21",14.38,56.29,0
"2016-11-24 22",13.08,64.51,0
"2016-11-24 23",12.24,68.28,0
"2016-11-25 00",11.26,71.19,0
"2016-11-25 01",9.87,71.99,0
"2016-11-25 02",8.83,76.73,0
"2016-11-25 03",8.5,79.18,0
"2016-11-25 04",8.99,82.75,0
"2016-11-25 05",9.3,83.16,0
"2016-11-25 06",8.89,84.46,0
"2016-11-25 07",9.3,81.31,0
"2016-11-25 08",8.98,74.29,0
"2016-11-25 09",10.04,72.14,0
"2016-11-25 10",11.68,66.79,0
"2016-11-25 11",13.36,61.62,0
"2016-11-25 12",15.21,53.86,0
"2016-11-25 13",16.87,45.08,0
"2016-11-25 14",18.65,38.9,0
"2016-11-25 15",19.82,29.49,0
"2016-11-25 16",20.59,24.53,0
"2016-11-25 17",20.62,25.21,0
"2016-11-25 18",19.46,26.52,0
"2016-11-25 19",17.71,34.74,0
"2016-11-25 20",16.08,46.45,0
"2016-11-25 21",13.75,58.4,0
"2016-11-25 22",12.21,64.33,0
"2016-11-25 23",11.05,70.41,0
"2016-11-26 00",10.65,71.85,0
"2016-11-26 01",10.41,70.88,0
"2016-11-26 02",10.16,72.1,0
"2016-11-26 03",10.09,72.77,0
"2016-11-26 04",8.95,78.58,0
"2016-11-26 05",8.53,80.72,0
"2016-11-26 06",8.13,79.1,0
"2016-11-26 07",7.7,81.3,0
"2016-11-26 08",8.02,79.46,0
"2016-11-26 09",9.7,70.83,0
"2016-11-26 10",11.02,64.33,0
"2016-11-26 11",11.55,61.75,0
"2016-11-26 12",12.65,56.21,0
"2016-11-26 13",14.19,51.17,0
"2016-11-26 14",15.49,47.07,0
"2016-11-26 15",16.71,43.55,0
"2016-11-26 16",17.68,41.72,0
"2016-11-26 17",17.86,41.39,0
"2016-11-26 18",16.95,45.66,0
"2016-11-26 19",14.98,55.1,0
"2016-11-26 20",13.82,62.02,0
"2016-11-26 21",12.79,64.92,0
"2016-11-26 22",12.11,67.51,0
"2016-11-26 23",11.31,71.72,0
"2016-11-27 00",10.58,75.29,0
"2016-11-27 01",9.27,79.05,0
"2016-11-27 02",8.26,79.89,0
"2016-11-27 03",7.38,82.35,0
"2016-11-27 04",6.82,84.58,0
"2016-11-27 05",6.68,84.98,0
"2016-11-27 06",7.18,82.1,0
"2016-11-27 07",7.82,81.56,0
"2016-11-27 08",8.41,81.06,0
"2016-11-27 09",8.79,79.82,0
"2016-11-27 10",9.84,75.49,0
"2016-11-27 11",11.9,66.48,0
"2016-11-27 12",13.86,59.23,0
"2016-11-27 13",16.05,51.54,0
"2016-11-27 14",17.93,43.34,0
"2016-11-27 15",19.6,37.64,0
"2016-11-27 16",20.6,39.32,0
"2016-11-27 17",20.95,40.13,0
"2016-11-27 18",19.54,45.6,0
"2016-11-27 19",16.76,52.97,0
"2016-11-27 20",16.08,55.2,0
"2016-11-27 21",14.34,64.36,0
"2016-11-27 22",12.98,71.78,0
"2016-11-27 23",12.41,68.19,0
"2016-11-28 00",10.48,76.8,0
"2016-11-28 01",10.14,77.63,0
"2016-11-28 02",9.18,73.35,0
"2016-11-28 03",8.78,63.45,0
"2016-11-28 04",7.59,62.93,0
"2016-11-28 05",7.27,65.13,0
"2016-11-28 06",6.85,67.71,0
"2016-11-28 07",6.47,69.98,0
"2016-11-28 08",8.65,61.33,0
"2016-11-28 09",13.4,50.18,0
"2016-11-28 10",15.98,39.99,0
"2016-11-28 11",18.26,34.39,0
"2016-11-28 12",,,
"2016-11-28 13",,,
"2016-11-28 14",,,
"2016-11-28 15",,,
"2016-11-28 16",,,
"2016-11-28 17",,,
"2016-11-28 18",,,
"2016-11-28 19",,,
"2016-11-28 20",,,
"2016-11-28 21",,,
"2016-11-28 22",,,
"2016-11-28 23",,,
"2016-11-29 00",,,
"2016-11-29 01",,,
"2016-11-29 02",10.04,70.03,0
"2016-11-29 03",9.28,70.46,0
"2016-11-29 04",8.98,71.66,0
"2016-11-29 05",8.94,73.29,0
"2016-11-29 06",8.76,72.59,0
"2016-11-29 07",8.68,72.51,0
"2016-11-29 08",10.32,67.78,0
"2016-11-29 09",15.64,51.4,0
"2016-11-29 10",17.1,46.74,0
"2016-11-29 11",19.56,39.05,0
"2016-11-29 12",21.18,31.27,0
"2016-11-29 13",22.38,29.2,0
"2016-11-29 14",23.74,27.32,0
"2016-11-29 15",24.72,26.53,0
"2016-11-29 16",24.56,29.9,0
"2016-11-29 17",23.45,34.66,0
"2016-11-29 18",21.11,41.35,0
"2016-11-29 19",18.82,48.3,0
"2016-11-29 20",17.44,51.88,0
"2016-11-29 21",16.94,55.52,0
"2016-11-29 22",15.53,67.06,0
"2016-11-29 23",14,74.28,0
"2016-11-30 00",13.07,76.68,0
"2016-11-30 01",12.31,69.29,0
"2016-11-30 02",12.03,67.15,0
"2016-11-30 03",11.24,71.62,0
"2016-11-30 04",10.64,76.21,0
"2016-11-30 05",9.94,80.46,0
"2016-11-30 06",9.95,79.01,0
"2016-11-30 07",10.22,73.99,0
"2016-11-30 08",10.55,75.49,0
"2016-11-30 09",14.21,59.49,0
"2016-11-30 10",16.36,51.64,0
"2016-11-30 11",18.39,44.93,0
"2016-11-30 12",20.61,38.65,0
"2016-11-30 13",22.35,33.75,0
"2016-11-30 14",23.62,31.45,0
"2016-11-30 15",23.83,30.8,0
"2016-11-30 16",24.48,30.52,0
"2016-11-30 17",24.66,31.84,0
"2016-11-30 18",22.55,32.6,0
"2016-11-30 19",20.41,37.68,0
"2016-11-30 20",19.68,41.04,0
"2016-11-30 21",17.82,52.13,0
"2016-11-30 22",16.38,54.28,0
"2016-11-30 23",15.5,58.7,0
"2016-12-01 00",14.35,64.11,0
"2016-12-01 01",12.85,67.86,0
"2016-12-01 02",12.19,71.52,0
"2016-12-01 03",11.45,73.78,0
"2016-12-01 04",10.72,76.14,0
"2016-12-01 05",9.76,79.87,0
"2016-12-01 06",9.41,82.23,0
"2016-12-01 07",9.23,82.63,0
"2016-12-01 08",10.98,74.12,0
"2016-12-01 09",14.88,60,0
"2016-12-01 10",17.13,52.39,0
"2016-12-01 11",19.38,46.84,0
"2016-12-01 12",20.85,41.5,0
"2016-12-01 13",21.92,38.16,0
"2016-12-01 14",23.31,33.54,0
"2016-12-01 15",23.92,31.75,0
"2016-12-01 16",23.82,31.53,0
"2016-12-01 17",22.53,39.52,0
"2016-12-01 18",21.14,48.15,0
"2016-12-01 19",19.41,53.92,0
"2016-12-01 20",18.21,56.52,0
"2016-12-01 21",17.05,63.23,0
"2016-12-01 22",16.1,66.75,0
"2016-12-01 23",15.17,69.39,0
"2016-12-02 00",13.87,74.87,0
"2016-12-02 01",13.75,69.48,0
"2016-12-02 02",12.58,74.97,0
"2016-12-02 03",11.86,78.41,0
"2016-12-02 04",11.03,77.88,0
"2016-12-02 05",10.89,80.09,0
"2016-12-02 06",10.47,79.87,0
"2016-12-02 07",10.03,84.69,0
"2016-12-02 08",11.6,78.31,0
"2016-12-02 09",14.59,65.53,0
"2016-12-02 10",16.44,57.1,0
"2016-12-02 11",18.55,49.05,0
"2016-12-02 12",20.4,43.57,0
"2016-12-02 13",21.93,38.05,0
"2016-12-02 14",23.03,33.75,0
"2016-12-02 15",23.2,34.15,0
"2016-12-02 16",23.11,34.51,0
"2016-12-02 17",22.7,33.2,0
"2016-12-02 18",21.23,39.55,0
"2016-12-02 19",19.11,51.93,0
"2016-12-02 20",17.7,58.6,0
"2016-12-02 21",16.44,63.2,0
"2016-12-02 22",15.44,61.54,0
"2016-12-02 23",14.5,64.9,0
"2016-12-03 00",13.48,69.55,0
"2016-12-03 01",12.71,71.82,0
"2016-12-03 02",12.06,75.12,0
"2016-12-03 03",11.15,77.58,0
"2016-12-03 04",10.79,78.73,0
"2016-12-03 05",10.51,67.42,0
"2016-12-03 06",9.49,68.19,0
"2016-12-03 07",9.27,73.32,0
"2016-12-03 08",10.09,67.92,0
"2016-12-03 09",14.34,54.75,0
"2016-12-03 10",17.13,48.35,0
"2016-12-03 11",18.7,44.6,0
"2016-12-03 12",20.63,39.11,0
"2016-12-03 13",22.41,30.65,0
"2016-12-03 14",23.59,28.57,0
"2016-12-03 15",24.4,26.93,0
"2016-12-03 16",24.41,30.73,0
"2016-12-03 17",23.04,33.31,0
"2016-12-03 18",21.8,37.16,0
"2016-12-03 19",18.44,52.26,0
"2016-12-03 20",17.24,55.42,0
"2016-12-03 21",15.87,60.22,0
"2016-12-03 22",14.41,65.4,0
"2016-12-03 23",13.94,65.91,0
"2016-12-04 00",13.14,65.58,0
"2016-12-04 01",13.37,64.17,0
"2016-12-04 02",12.5,65.7,0
"2016-12-04 03",11.74,67.7,0
"2016-12-04 04",11.47,68.25,0
"2016-12-04 05",10.72,74.01,0
"2016-12-04 06",10.27,76.92,0
"2016-12-04 07",10.09,78.22,0
"2016-12-04 08",11.66,73.77,0
"2016-12-04 09",14.67,63.05,0
"2016-12-04 10",17.48,51.53,0
"2016-12-04 11",19.87,43.51,0
"2016-12-04 12",20.83,39.39,0
"2016-12-04 13",22.52,32.78,0
"2016-12-04 14",22.12,32.79,0
"2016-12-04 15",21.95,33.85,0
"2016-12-04 16",21.96,33.36,0
"2016-12-04 17",21.37,34.84,0
"2016-12-04 18",19.48,43.19,0
"2016-12-04 19",17.99,52.84,0
"2016-12-04 20",17.41,50.54,0
"2016-12-04 21",17.12,45.75,0
"2016-12-04 22",16.79,45.58,0
"2016-12-04 23",16.44,43.98,0
"2016-12-05 00",15.93,46.44,0
"2016-12-05 01",15.4,48.99,0
"2016-12-05 02",14.47,52.98,0
"2016-12-05 03",13.63,56.05,0
"2016-12-05 04",12.82,59.97,0
"2016-12-05 05",11.79,64.88,0
"2016-12-05 06",10.59,70.99,0
"2016-12-05 07",9.98,73.86,0
"2016-12-05 08",11.2,69.68,0
"2016-12-05 09",15.31,52.52,0
"2016-12-05 10",17.51,43.9,0
"2016-12-05 11",19.34,39.84,0
"2016-12-05 12",20.37,35.86,0
"2016-12-05 13",21.54,33.21,0
"2016-12-05 14",21.84,32.02,0
"2016-12-05 15",22,32.16,0
"2016-12-05 16",21.64,33.37,0
"2016-12-05 17",20.58,35.5,0
"2016-12-05 18",19.15,39.56,0
"2016-12-05 19",17.54,45.16,0
"2016-12-05 20",15.99,53.37,0
"2016-12-05 21",14.85,54.08,0
"2016-12-05 22",13.83,57.94,0
"2016-12-05 23",12.72,61.68,0
"2016-12-06 00",11.82,50.62,0
"2016-12-06 01",11.28,47.74,0
"2016-12-06 02",9.66,54.17,0
"2016-12-06 03",9.31,52.28,0
"2016-12-06 04",8.45,59.4,0
"2016-12-06 05",8.3,55.14,0
"2016-12-06 06",8.46,53.04,0
"2016-12-06 07",7.98,53.68,0
"2016-12-06 08",9.54,48.19,0
"2016-12-06 09",13.94,40.41,0
"2016-12-06 10",15.87,35.59,0
"2016-12-06 11",18.01,26.54,0
"2016-12-06 12",19.75,24.66,0
"2016-12-06 13",21.68,23.74,0
"2016-12-06 14",22.79,23.16,0
"2016-12-06 15",23.54,18.73,0
"2016-12-06 16",23.92,18.31,0
"2016-12-06 17",23.57,27.31,0
"2016-12-06 18",21.35,36.5,0
"2016-12-06 19",19.02,45.17,0
"2016-12-06 20",17.97,52.77,0
"2016-12-06 21",16.74,58.28,0
"2016-12-06 22",15.41,63.14,0
"2016-12-06 23",14.42,64.53,0
"2016-12-07 00",13.23,63.27,0
"2016-12-07 01",12.7,63.92,0
"2016-12-07 02",12.02,70.64,0
"2016-12-07 03",10.75,76.31,0
"2016-12-07 04",10.47,75.72,0
"2016-12-07 05",9.77,74.4,0
"2016-12-07 06",9.37,78.31,0
"2016-12-07 07",9.19,76.14,0
"2016-12-07 08",10.63,70.24,0
"2016-12-07 09",14.16,59.38,0
"2016-12-07 10",15.57,51.55,0
"2016-12-07 11",17.72,43.63,0
"2016-12-07 12",19.76,38.27,0
"2016-12-07 13",22.12,34.03,0
"2016-12-07 14",23.17,30.81,0
"2016-12-07 15",23.7,29.64,0
"2016-12-07 16",23.26,31.65,0
"2016-12-07 17",22.97,35.92,0
"2016-12-07 18",21.68,44.12,0
"2016-12-07 19",19.27,52.06,0
"2016-12-07 20",18.01,56.28,0
"2016-12-07 21",16.53,58.64,0
"2016-12-07 22",15.73,57.54,0
"2016-12-07 23",14.16,67.18,0
"2016-12-08 00",13.39,67.73,0
"2016-12-08 01",12.4,64.4,0
"2016-12-08 02",11.99,65.38,0
"2016-12-08 03",10.97,74.93,0
"2016-12-08 04",10.33,78.58,0
"2016-12-08 05",9.75,77.55,0
"2016-12-08 06",9.25,77.07,0
"2016-12-08 07",9.17,72.95,0
"2016-12-08 08",10.26,72.55,0
"2016-12-08 09",13.84,58.82,0
"2016-12-08 10",16.41,48.87,0
"2016-12-08 11",18.58,41.26,0
"2016-12-08 12",20.14,38.59,0
"2016-12-08 13",21.37,36.14,0
"2016-12-08 14",22.6,33.59,0
"2016-12-08 15",23.02,32.76,0
"2016-12-08 16",23.74,29.44,0
"2016-12-08 17",23.3,33.7,0
"2016-12-08 18",21.23,41.96,0
"2016-12-08 19",19.69,51.13,0
"2016-12-08 20",18.13,56.69,0
"2016-12-08 21",16.73,61.96,0
"2016-12-08 22",15.95,65.29,0
"2016-12-08 23",15.05,70.71,0
"2016-12-09 00",14.88,72.28,0
"2016-12-09 01",14.87,73.12,0
"2016-12-09 02",14.64,74.57,0
"2016-12-09 03",13.42,80.85,0.1
"2016-12-09 04",13.41,77.74,0
"2016-12-09 05",13.38,76.13,0
"2016-12-09 06",13.31,75.99,0
"2016-12-09 07",13.14,75.4,0
"2016-12-09 08",13.26,75.76,0
"2016-12-09 09",13.47,75.3,0
"2016-12-09 10",13.56,73.34,0
"2016-12-09 11",14.21,69.3,0
"2016-12-09 12",15.21,64.03,0
"2016-12-09 13",16.57,58.61,0
"2016-12-09 14",17.64,53.99,0
"2016-12-09 15",18.91,49.34,0
"2016-12-09 16",19.24,48.21,0
"2016-12-09 17",18.7,50.21,0
"2016-12-09 18",17.68,54.76,0
"2016-12-09 19",16.28,59.67,0
"2016-12-09 20",15.13,63.25,0
"2016-12-09 21",14.02,67.74,0
"2016-12-09 22",13.25,70.5,0
"2016-12-09 23",13.11,70.72,0
"2016-12-10 00",12.95,70.98,0
"2016-12-10 01",12.67,72.11,0
"2016-12-10 02",12.38,73.31,0
"2016-12-10 03",12.05,74.64,0
"2016-12-10 04",11.5,77.13,0
"2016-12-10 05",11.32,77.81,0
"2016-12-10 06",11.53,76.54,0
"2016-12-10 07",11.69,75.89,0
"2016-12-10 08",11.78,75.46,0
"2016-12-10 09",12.64,71.54,0
"2016-12-10 10",13.63,67.81,0
"2016-12-10 11",14.54,64.26,0
"2016-12-10 12",15.92,59.16,0
"2016-12-10 13",17.03,53.71,0
"2016-12-10 14",17.75,50.35,0
"2016-12-10 15",18.33,49.69,0
"2016-12-10 16",18.88,48.12,0
"2016-12-10 17",18.25,51.4,0
"2016-12-10 18",17.53,53.66,0
"2016-12-10 19",17.42,53.72,0
"2016-12-10 20",16.77,56.25,0
"2016-12-10 21",15.17,62.53,0
"2016-12-10 22",13.79,67.4,0
"2016-12-10 23",12.91,70.7,0
"2016-12-11 00",12.55,72.52,0
"2016-12-11 01",12.34,73.87,0
"2016-12-11 02",11.76,76.94,0
"2016-12-11 03",11.15,79.27,0
"2016-12-11 04",10.95,80.34,0
"2016-12-11 05",11.59,77.61,0
"2016-12-11 06",11.89,75.83,0
"2016-12-11 07",11.55,75.48,0
"2016-12-11 08",11.26,79.5,0
"2016-12-11 09",12.27,75.62,0
"2016-12-11 10",13.71,67.66,0
"2016-12-11 11",15.46,60.41,0
"2016-12-11 12",17.26,52.96,0
"2016-12-11 13",19.15,43.35,0
"2016-12-11 14",20.34,36.86,0
"2016-12-11 15",21.39,32.44,0
"2016-12-11 16",21.18,33.88,0
"2016-12-11 17",20.78,37.5,0
"2016-12-11 18",19.49,41.87,0
"2016-12-11 19",17.77,49.72,0
"2016-12-11 20",16.62,54.3,0
"2016-12-11 21",17.24,50.03,0
"2016-12-11 22",16.6,51.38,0
"2016-12-11 23",15.98,55.6,0
"2016-12-12 00",14.41,61.04,0
"2016-12-12 01",13.65,61.44,0
"2016-12-12 02",12.98,64.46,0
"2016-12-12 03",12.31,67.22,0
"2016-12-12 04",11.38,71.35,0
"2016-12-12 05",10.69,74.42,0
"2016-12-12 06",10.58,74.49,0
"2016-12-12 07",10.01,77.1,0
"2016-12-12 08",10.17,76.21,0
"2016-12-12 09",13.38,62.55,0
"2016-12-12 10",15.58,54.11,0
"2016-12-12 11",17.59,43.57,0
"2016-12-12 12",18.91,38.58,0
"2016-12-12 13",19.99,34.85,0
"2016-12-12 14",20.93,32,0
"2016-12-12 15",22.17,28.76,0
"2016-12-12 16",22.43,28.03,0
"2016-12-12 17",22.62,28.28,0
"2016-12-12 18",20.95,36.07,0
"2016-12-12 19",18.39,45.41,0
"2016-12-12 20",16.94,47.46,0
"2016-12-12 21",15.98,48.76,0
"2016-12-12 22",15.63,51.87,0
"2016-12-12 23",15.07,54.46,0
"2016-12-13 00",13.95,58.67,0
"2016-12-13 01",12.89,61,0
"2016-12-13 02",11.76,66.13,0
"2016-12-13 03",11.01,67.56,0
"2016-12-13 04",10.25,71.56,0
"2016-12-13 05",9.93,71.56,0
"2016-12-13 06",9.32,74.92,0
"2016-12-13 07",9,75.26,0
"2016-12-13 08",9.71,72.97,0
"2016-12-13 09",13.15,58.85,0
"2016-12-13 10",14.78,52.01,0
"2016-12-13 11",16.9,44.52,0
"2016-12-13 12",18.93,37.61,
"2016-12-13 13",20.48,29.05,0
"2016-12-13 14",21.38,24.32,0
"2016-12-13 15",22.22,24.18,0
"2016-12-13 16",22.28,25.39,0
"2016-12-13 17",22.06,25.58,0
"2016-12-13 18",21.01,25.04,0
"2016-12-13 19",18.16,33.49,0
"2016-12-13 20",16.29,36.95,0
"2016-12-13 21",15.17,38.39,0
"2016-12-13 22",14.23,39.94,0
"2016-12-13 23",13.19,44.94,0
"2016-12-14 00",12.74,48.97,0
"2016-12-14 01",12.24,51.67,0
"2016-12-14 02",11.88,50.67,0
"2016-12-14 03",11.13,50.43,0
"2016-12-14 04",9.5,58.46,0
"2016-12-14 05",9.2,58.12,0
"2016-12-14 06",7.95,61.94,0
"2016-12-14 07",7.49,64.72,0
"2016-12-14 08",8.04,63.65,0
"2016-12-14 09",12.89,44.44,0
"2016-12-14 10",14.46,39.17,0
"2016-12-14 11",16.4,32.55,0
"2016-12-14 12",18.33,30.61,0
"2016-12-14 13",20.01,27.32,0
"2016-12-14 14",21.57,24.39,0
"2016-12-14 15",22.42,22.59,0
