"Fecha","Temperatura","Humedad","Precipitación Total"
"2016-06-08 01",14.45,71.6,0
"2016-06-08 02",13.58,77.31,0
"2016-06-08 03",13.47,78.6,0
"2016-06-08 04",12.62,75.71,0
"2016-06-08 05",12,76.16,0
"2016-06-08 06",11.6,79,0
"2016-06-08 07",11.99,77.81,0
"2016-06-08 08",14.6,68.1,0
"2016-06-08 09",16.6,60.7,0
"2016-06-08 10",18.48,53.86,0
"2016-06-08 11",20.1,48.16,0
"2016-06-08 12",21.65,42.71,0
"2016-06-08 13",22.97,37.09,0
"2016-06-08 14",23.39,32.76,0
"2016-06-08 15",23.09,31.36,0
"2016-06-08 16",22,37.36,0
"2016-06-08 17",21.93,40.38,0
"2016-06-08 18",20.92,41.02,0
"2016-06-08 19",19.27,48.02,0
"2016-06-08 20",17.77,56.21,0
"2016-06-08 21",17.73,54.06,0
"2016-06-08 22",17.12,58.6,0
"2016-06-08 23",16.63,63.27,0
"2016-06-09 00",15.62,69.14,0
"2016-06-09 01",15.67,68.85,0
"2016-06-09 02",15.45,70.59,0
"2016-06-09 03",15.36,70.85,0
"2016-06-09 04",15.44,69.84,0
"2016-06-09 05",14.85,72.81,0
"2016-06-09 06",13.53,77,0
"2016-06-09 07",13.73,74.42,0
"2016-06-09 08",15.9,69.99,0
"2016-06-09 09",17.09,65.65,0
"2016-06-09 10",18.84,57.86,0
"2016-06-09 11",20.69,50.04,0
"2016-06-09 12",21.83,44.64,0
"2016-06-09 13",22.12,41.85,0
"2016-06-09 14",20.15,51.84,0.7
"2016-06-09 15",17.68,61.94,0.2
"2016-06-09 16",20.36,47.16,0
"2016-06-09 17",22,39.02,0
"2016-06-09 18",21.3,43.2,0
"2016-06-09 19",21.68,41.6,0
"2016-06-09 20",20.77,48.52,0
"2016-06-09 21",19.34,53.89,0
"2016-06-09 22",19.11,56.44,0
"2016-06-09 23",18.22,60.95,0
"2016-06-10 00",17.55,64.37,0
"2016-06-10 01",16.85,67.42,0
"2016-06-10 02",16.5,67.93,0
"2016-06-10 03",16.58,60,0
"2016-06-10 04",16.34,59.75,0
"2016-06-10 05",15.66,64.78,0
"2016-06-10 06",15.15,69.59,0
"2016-06-10 07",15.04,71.68,0
"2016-06-10 08",17.58,61.44,0
"2016-06-10 09",18.97,55.18,0
"2016-06-10 10",20.08,52.22,0
"2016-06-10 11",21.24,49.6,0
"2016-06-10 12",22.48,46.4,0
"2016-06-10 13",22.1,46.74,0
"2016-06-10 14",21.6,48.61,0
"2016-06-10 15",22.87,42.83,0
"2016-06-10 16",23.65,41.95,0
"2016-06-10 17",22.33,46.33,0
"2016-06-10 18",19.69,57.15,0
"2016-06-10 19",18.07,62.77,1.1
"2016-06-10 20",16.05,85.18,1
"2016-06-10 21",16.13,81.41,0
"2016-06-10 22",16.66,76.59,0
"2016-06-10 23",15.77,85.78,1
"2016-06-11 00",15.28,90.08,1.5
"2016-06-11 01",14.74,91.24,0.8
"2016-06-11 02",14.5,90.59,0.2
"2016-06-11 03",14.31,92.29,0.5
"2016-06-11 04",14.15,92.74,0.2
"2016-06-11 05",14.01,91.52,0
"2016-06-11 06",13.86,92.42,0.1
"2016-06-11 07",14.03,90.92,0
"2016-06-11 08",14.55,87.64,0.1
"2016-06-11 09",15.27,85.28,0
"2016-06-11 10",16.52,77.21,0
"2016-06-11 11",17.76,68.75,0
"2016-06-11 12",19.02,62.16,0
"2016-06-11 13",20.68,52.77,0
"2016-06-11 14",22.03,49.41,0
"2016-06-11 15",22.3,47.9,0
"2016-06-11 16",21.85,50.19,0
"2016-06-11 17",21.97,49.66,0
"2016-06-11 18",20.5,58.44,0
"2016-06-11 19",19.22,66.2,0
"2016-06-11 20",18.66,67.2,0
"2016-06-11 21",18.07,72.6,0.2
"2016-06-11 22",16.93,76.1,0
"2016-06-11 23",16.3,75.11,0
"2016-06-12 00",16.64,74.69,0
"2016-06-12 01",16.56,76.54,0
"2016-06-12 02",16.17,78.22,0
"2016-06-12 03",15.99,80.02,0
"2016-06-12 04",15.79,81.38,0
"2016-06-12 05",14.79,81.99,0
"2016-06-12 06",14.49,81.43,0
"2016-06-12 07",14.86,78.93,0
"2016-06-12 08",16.46,71.47,0
"2016-06-12 09",17.51,69.5,0
"2016-06-12 10",19.52,62.11,0
"2016-06-12 11",20.79,55.42,0
"2016-06-12 12",22.11,47.38,0
"2016-06-12 13",22.99,45.65,0
"2016-06-12 14",23.98,42.39,0
"2016-06-12 15",23.92,42.78,0
"2016-06-12 16",24.01,42.37,0
"2016-06-12 17",23.8,43.76,0
"2016-06-12 18",20.62,57.76,0
"2016-06-12 19",16.61,77.56,2.2
"2016-06-12 20",16.97,75.33,0
"2016-06-12 21",17.53,70.73,0
"2016-06-12 22",17.41,68.71,0
"2016-06-12 23",17.07,74.19,0
"2016-06-13 00",16.6,75.93,0
"2016-06-13 01",15.75,78.58,0
"2016-06-13 02",15.91,77.69,0
"2016-06-13 03",15.2,86.38,1.8
"2016-06-13 04",14.38,92.14,1.3
"2016-06-13 05",14.4,94.33,0
"2016-06-13 06",14.48,91.86,0
"2016-06-13 07",14.61,89.86,0
"2016-06-13 08",16.22,80.62,0
"2016-06-13 09",17.64,70.2,0
"2016-06-13 10",18.75,62.09,0
"2016-06-13 11",20.2,55.19,0
"2016-06-13 12",21.45,48.72,0
"2016-06-13 13",22.26,44.25,0
"2016-06-13 14",22.07,47.39,0
"2016-06-13 15",22.73,46.39,0
"2016-06-13 16",23.22,44.04,0
"2016-06-13 17",23.59,41.1,0
"2016-06-13 18",23.35,41.87,0
"2016-06-13 19",20.37,57.51,0
"2016-06-13 20",19.15,60.96,0
"2016-06-13 21",18.69,63.23,0
"2016-06-13 22",18,57.74,0
"2016-06-13 23",15.96,72.42,0.4
"2016-06-14 00",16.11,75.32,0
"2016-06-14 01",16.32,69.94,0
"2016-06-14 02",16.49,68.82,0
"2016-06-14 03",16,73.61,0
"2016-06-14 04",14.44,84.38,0
"2016-06-14 05",14.26,85.88,0
"2016-06-14 06",13.65,88.35,0
"2016-06-14 07",14.21,83.05,0
"2016-06-14 08",16.44,72.26,0
"2016-06-14 09",18.2,61.09,0
"2016-06-14 10",19.76,53.6,0
"2016-06-14 11",20.92,48.24,0
"2016-06-14 12",22.33,43.64,0
"2016-06-14 13",23.51,40.26,0
"2016-06-14 14",23.68,39.33,0
"2016-06-14 15",23.85,38.51,0
"2016-06-14 16",23.73,42.45,0
"2016-06-14 17",23.27,46.76,0
"2016-06-14 18",22.11,50.19,0
"2016-06-14 19",19.07,61.84,0
"2016-06-14 20",18.52,66.53,0
"2016-06-14 21",17.47,78.06,1
"2016-06-14 22",16.14,82.72,0.1
"2016-06-14 23",15.85,84.56,0.5
"2016-06-15 00",15.82,81.87,0
"2016-06-15 01",15.86,77.94,0
"2016-06-15 02",15.88,79.13,0
"2016-06-15 03",15.42,84.48,0.1
"2016-06-15 04",15.08,87.52,0
"2016-06-15 05",15.11,87.85,0
"2016-06-15 06",15.17,85.54,0
"2016-06-15 07",15.54,80.24,0
"2016-06-15 08",16.97,71.71,0
"2016-06-15 09",19.24,55.46,0
"2016-06-15 10",20.53,48.73,0
"2016-06-15 11",21.4,45,0
"2016-06-15 12",22.3,42.71,0
"2016-06-15 13",22.96,41.14,0
"2016-06-15 14",23.04,41.06,0
"2016-06-15 15",22.89,40.53,0
"2016-06-15 16",23.19,38.58,0
"2016-06-15 17",22.98,39.62,0
"2016-06-15 18",22.59,39.57,0
"2016-06-15 19",21.8,42.33,0
"2016-06-15 20",21.15,45.31,0
"2016-06-15 21",20.66,47.99,0
"2016-06-15 22",20.08,52.46,0
"2016-06-15 23",19.4,54,0
"2016-06-16 00",18.73,45.75,0
"2016-06-16 01",18.43,47.94,0
"2016-06-16 02",17.93,53.63,0
"2016-06-16 03",16.71,66.48,0
"2016-06-16 04",16.37,69.54,0
"2016-06-16 05",15.73,77.28,0
"2016-06-16 06",14.97,83.26,0
"2016-06-16 07",15.31,82.23,0
"2016-06-16 08",16.8,72.92,0
"2016-06-16 09",18.81,62,0
"2016-06-16 10",20.33,56.43,0
"2016-06-16 11",21.78,50.06,0
"2016-06-16 12",23.13,45.18,0
"2016-06-16 13",23.98,41.7,0
"2016-06-16 14",24.68,39.32,0
"2016-06-16 15",25.35,35.05,0
"2016-06-16 16",25.94,34.45,0
"2016-06-16 17",24.87,38.51,0
"2016-06-16 18",21.71,51.64,0
"2016-06-16 19",18.48,64.23,0.2
"2016-06-16 20",18.23,65.48,0
"2016-06-16 21",19.21,62.1,0.3
"2016-06-16 22",15.35,85.92,9.6
"2016-06-16 23",14.38,84.06,0.1
"2016-06-17 00",14.44,84.3,0
"2016-06-17 01",14.78,84.13,0
"2016-06-17 02",15.24,82.03,0
"2016-06-17 03",15.41,82.93,0
"2016-06-17 04",15.36,83.35,0
"2016-06-17 05",14.84,86.9,0
"2016-06-17 06",14.31,89.16,0
"2016-06-17 07",14.84,85.13,0
"2016-06-17 08",16.21,76.84,0
"2016-06-17 09",16.97,72.42,0
"2016-06-17 10",19.44,59.86,0
"2016-06-17 11",20.76,52.42,0
"2016-06-17 12",22.3,43.27,0
"2016-06-17 13",23,38.25,0
"2016-06-17 14",23.95,36.03,0
"2016-06-17 15",24.84,28.91,0
"2016-06-17 16",25.3,28.68,0
"2016-06-17 17",23.95,35.14,0
"2016-06-17 18",22.64,42.21,0
"2016-06-17 19",22.03,45.99,0
"2016-06-17 20",20.83,50.05,0
"2016-06-17 21",19.24,56.02,0
"2016-06-17 22",19.11,56.62,0
"2016-06-17 23",18.42,59.03,0
"2016-06-18 00",18.05,61.71,0
"2016-06-18 01",17.95,58.82,0
"2016-06-18 02",17.37,66.19,0
"2016-06-18 03",16.64,69.78,0
"2016-06-18 04",16.31,70.3,0
"2016-06-18 05",15.85,70.95,0
"2016-06-18 06",15.82,72.15,0
